ID;City;Country;Longitude;Latitude
149;Irkutsk;Russia;104.25;52.33
150;Islamabad;Pakistan;73.09;33.71
151;Istanbul;Turkey;28.96;41.01
152;Jackson, MS;USA;-90.18;32.29
153;Jacksonville, FL;USA;-81.65;30.33
154;Jakarta;Indonesia;106.81;-6.16
155;Jerusalem;Israel;35.21;31.78
156;Kabul;Afghanistan;69.16;34.53
157;Kanazawa;Japan;136.65;36.56
158;Kansas City, KS;USA;-94.62;39.11
159;Kansas City, MO;USA;-94.57;39.09
160;Karachi;Pakistan;67.1;24.89
161;Kathmandu;Nepal;85.31;27.71
162;Kelowna, BC;Canada;-119.27;49.52
163;Kiev;Ukraine;30.52;50.43
164;Kingston;Jamaica;-76.79;17.96
165;Knoxville, TN;USA;-83.92;35.96
166;Kobe;Japan;135.19;34.68
167;Kochi;Japan;133.54;33.55
168;Kolkata (Calcutta);India;88.32;22.51
169;Krasnoyarsk;Russia;93.06;56.03
170;Kuala Lumpur;Malaysia;101.69;3.17
171;Kuwait;Kuwait;47.97;29.37
172;Kwangju;Korea;126.91;35.15
173;Kyoto;Japan;135.77;34.98
174;La Coruna;Spain;-8.4;43.36
175;La Paz;Bolivia;-68.14;-16.5
176;Lansing, MI;USA;-84.56;42.72
177;Laredo, TX;USA;-99.49;27.51
178;Las Vegas, NV;USA;-115.13;36.17
179;Leipzig;Germany;12.4;51.35
180;Lexington, KY;USA;-84.5;38.04
181;Lhasa;China;91.13;29.65
182;Lille;France;3.04;50.63
183;Lima;Peru;-77.05;-12.04
184;Limerick;Ireland;-8.62;52.67
185;Limoges;France;1.26;45.83
186;Lincoln, NE;USA;-96.66;40.8
187;Lisbon;Portugal;-9.19;38.72
188;Little Rock, AR;USA;-92.28;34.74
189;Liverpool;United Kingdom;-2.96;53.39
190;Ljubljana;Slovenia;14.51;46.06
191;London;United Kingdom;-0.06;51.51
192;Londonderry;United Kingdom;-7.31;54.99
193;Long Beach, CA;USA;-118.18;33.76
194;Los Angeles, CA;USA;-118.24;34.05
195;Louisville, KY;USA;-85.75;38.25
196;Luanda;Angola;13.24;-8.81
197;Lubbock, TX;USA;-101.85;33.57
198;Luxembourg;Luxembourg;6.13;49.6
199;Lyon;France;4.83;45.76
200;Madison, WI;USA;-89.4;43.07
201;Madras (Chennai);India;80.3;13.08
202;Madrid;Spain;-3.68;40.4
203;Malaga;Spain;-4.42;36.72
204;Male;Maldives;73.5;4.17
205;Managua;Nicaragua;-86.27;12.15
206;Manaus;Brazil;-60.01;-3.13
207;Manchester;United Kingdom;-2.23;53.47
208;Manila;Philippines;120.98;14.6
209;Maracaibo;Venezuela;-71.64;10.65
210;Marseilles;France;5.36;43.29
211;Medellin;Colombia;-75.58;6.25
